engine,config,scenario,run_id,scaling,n,particles,rho,dt,steps,bx,by,bz,schedule,layout,executor,ordering,threads,total_cores,integration_time_s,performance_mups,mups_computed,avg_step_time_s,median_step_time_s,std_deviation_s,wall_time_seconds,speedup,parallel_efficiency
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,11,20.12771,24.84,24.8413753973999,0.040255,0.040294,0.000551,22.414287,9.373584905660378,0.8521440823327616
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,16,15.06328,33.19,33.193301857231624,0.030127,0.030117,0.000364,16.934171,12.524528301886791,0.7827830188679245
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,16,15.03839,33.25,33.248240004415365,0.030077,0.03003,0.000371,16.900989,12.547169811320755,0.7841981132075472
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,23,11.78816,42.42,42.41544057766437,0.023576,0.023495,0.000977,13.377872,16.00754716981132,0.695980311730927
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,23,12.25396,40.8,40.80313629226797,0.024508,0.024524,0.001085,13.934923,15.39622641509434,0.6694011484823627
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,32,10.61654,47.1,47.09632328423385,0.021233,0.021519,0.001028,12.129127,17.77358490566038,0.5554245283018868
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,32,9.72203,51.43,51.429588265002266,0.019444,0.019414,0.000185,11.129028,19.40754716981132,0.6064858490566037
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,37,9.18174,54.46,54.455909228534026,0.018363,0.018357,0.000124,10.524848,20.550943396226415,0.5554309026007139
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,37,9.21606,54.25,54.25311901181199,0.018432,0.018428,0.000126,10.560584,20.471698113207548,0.5532891381947986
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,45,8.47465,59.0,58.99948670446567,0.016949,0.016872,0.00028,9.753839,22.264150943396228,0.4947589098532495
