engine,config,scenario,run_id,scaling,mode,n,particles,rho,dt,steps,ranks,threads,total_cores,loop_time_s,pair_time_s,neigh_time_s,comm_time_s,modify_time_s,neighbor_list_builds,total_neighbors,pair_ns_per_interaction,performance_mups,pair_percent,neigh_percent,comm_percent,modify_percent,known_timing_time_s,known_timing_percent,other_time_s,other_percent
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,6,6,51.1082,25.905,19.587,2.1604,1.8322,84.0,37710977.0,1.3738705311188304,9.783,50.68658258361672,38.32457413878791,4.227110326718609,3.5849433163367133,49.48460000000001,96.82321036545997,1.623599999999989,3.176789634540033
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,8,8,40.4732,19.857,14.977,2.197,1.8223,84.0,37710977.0,1.0531151181789853,12.354,49.0620954112845,37.00473399681765,5.428283407291739,4.502485595406343,38.853300000000004,95.99759841080025,1.6198999999999941,4.002401589199752
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,8,8,40.4879,19.85,14.99,2.191,1.8443,84.0,37710977.0,1.0527438734880827,12.349,49.02699324983514,37.02340699320043,5.4114933103470415,4.555188093232792,38.8753,96.01708164661541,1.6126000000000005,3.9829183533845924
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,11,11,31.8874,15.032,11.119,2.1825,1.9366,84.0,37710977.0,0.7972214562354086,15.68,47.14087696080584,34.86957230755722,6.844396219196297,6.0732452316589,30.2701,94.92809071921825,1.6173000000000002,5.071909280781751
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,11,11,31.9096,15.027,11.119,2.2079,1.9335,84.0,37710977.0,0.7969562814561925,15.669,47.092411061248015,34.845313009251136,6.91923433700203,6.059305036728758,30.287399999999998,94.91626344422994,1.622200000000003,5.08373655577006
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,16,16,25.2387,11.196,7.9176,2.1993,2.3131,84.0,37710977.0,0.5937793656207846,19.811,44.360446457226395,31.370870924413694,8.713998740030192,9.164893595945909,23.625999999999998,93.61020971761619,1.6127000000000038,6.389790282383814
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,16,16,25.2276,11.186,7.9266,2.1942,2.3101,84.0,37710977.0,0.5932490160623524,19.82,44.3403256750543,31.420349141416544,8.697616895780811,9.157034359193899,23.616899999999998,93.61532607144555,1.6107000000000014,6.384673928554446
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t23_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,23,23,21.7105,9.1261,5.8127,2.203,2.9217,84.0,37710977.0,0.4840023105208862,23.03,42.03542064899472,26.77368093779508,10.147163814744017,13.457543584901316,20.0635,92.41380898643514,1.6469999999999985,7.586191013564858
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t23_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,23,23,21.7032,9.1313,5.8016,2.2102,2.9212,84.0,37710977.0,0.484278092291271,23.038,42.07351911238896,26.731541892439825,10.183751704817722,13.459766301743523,20.0643,92.44857901139002,1.6388999999999996,7.551420988609973
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,32,32,20.1412,8.3494,4.4264,2.2291,3.4618,84.0,37710977.0,0.4428100603174507,24.825,41.454332413163065,21.976843484995925,11.06736440728457,17.187655154608464,18.4667,91.68619546005202,1.6745000000000019,8.313804539947975
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,32,32,20.0778,8.3369,4.4018,2.2104,3.4587,84.0,37710977.0,0.4421471233694105,24.903,41.52297562481945,21.923716741874106,11.009174311926605,17.22648895795356,18.407799999999998,91.68235563657372,1.6700000000000017,8.31764436342628
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,37,37,19.6188,8.3243,3.9235,2.2438,3.4353,84.0,37710977.0,0.4414788829257857,25.486,42.43021999306787,19.99867474055498,11.436989010540907,17.510245274940363,17.9269,91.37612901910413,1.6919000000000004,8.623870980895878
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,37,37,19.6207,8.3389,3.9274,2.2234,3.4398,84.0,37710977.0,0.4422531932810969,25.483,42.50052240745744,20.016615105475342,11.331909666831457,17.531484605544147,17.9295,91.38053178530838,1.6911999999999985,8.619468214691619
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,45,45,19.234,8.5775,3.3903,2.2394,3.3329,84.0,37710977.0,0.4549073337452912,25.996,44.59550795466361,17.626598731413118,11.642923988769885,17.328168867630236,17.5401,91.19319954247686,1.6939000000000028,8.806800457523149
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,45,45,19.2077,8.5668,3.382,2.228,3.3401,84.0,37710977.0,0.4543398597177687,26.031,44.60086319548932,17.607521983371253,11.599514777927602,17.38938030060861,17.5169,91.19728025739678,1.6907999999999994,8.802719742603223
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,50,50,19.6761,8.8568,3.1387,2.2542,3.7052,84.0,37710977.0,0.4697199969123048,25.412,45.012985296883016,15.951840049603325,11.456538643328706,18.83096751896971,17.954900000000002,91.25233150878478,1.7211999999999996,8.747668491215228
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,50,50,19.6729,8.8618,3.1319,2.2501,3.7022,84.0,37710977.0,0.469985171691521,25.416,45.04572279633405,15.91986946510174,11.437561315311928,18.81878116596943,17.946,91.22193474271715,1.726899999999997,8.778065257282847
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,56,56,20.5419,9.3902,2.9056,2.3208,4.1521,84.0,37710977.0,0.4980088423590829,24.341,45.71242192786451,14.144748051543433,11.297883837424973,20.212833282218295,18.7687,91.36788709905122,1.7731999999999992,8.63211290094879
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,56,56,20.4673,9.3553,2.8942,2.3027,4.1409,84.0,37710977.0,0.4961579224001542,24.429,45.708520420377866,14.140604769559248,11.250629052195453,20.231784358464477,18.6931,91.33153860059706,1.7742000000000004,8.668461399402952
