engine,config,benchmark,scaling,scenario,run_id,run_date,hostname,n_dim,atoms,rho,dt,steps,ranks,threads,bind,loop_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,output_time_s,modify_time_s,other_time_s,total_neighbors,neighbor_list_builds,wall_time_s,wall_time_process_s,exit_status,result_dir
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose,20260630_024117_strong_rep2,2026-06-30T02:56:28+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,3,close,51.8546,,9.642,238.3,27.859,9.9386,5.6251,,5.8179,,37710977,84,60.310415,60.310415,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose,20260630_024117_strong_rep3,2026-06-30T03:07:59+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,3,close,51.3925,,9.729,239.6,27.775,9.9444,5.4124,,5.7176,,37710977,84,59.782377,59.782377,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260630_024117_strong_rep1,2026-06-30T02:51:17+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,45,close,25.1177,,19.906,2103.6,7.6954,2.6867,5.5935,,6.7531,,37710977,84,31.402761,31.402761,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260630_024117_strong_rep2,2026-06-30T03:02:48+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,45,close,25.1904,,19.849,2098.3,7.6977,2.6572,5.6584,,6.7817,,37710977,84,31.520053,31.520053,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260630_024117_strong_rep3,2026-06-30T03:14:21+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,45,close,25.0532,,19.957,2103.9,7.6762,2.6784,5.5108,,6.7952,,37710977,84,31.347097,31.347097,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose,20260630_024117_strong_rep1,2026-06-30T02:45:59+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,4,close,45.5211,,10.984,302.6,23.784,7.9614,5.5082,,5.6672,,37710977,84,53.352452,53.352452,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose,20260630_024117_strong_rep2,2026-06-30T02:57:30+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,4,close,45.3567,,11.024,301.5,23.628,7.9404,5.5036,,5.702,,37710977,84,53.254693,53.254693,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose,20260630_024117_strong_rep3,2026-06-30T03:09:01+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,4,close,44.9945,,11.112,302.4,23.36,7.9713,5.4885,,5.5773,,37710977,84,52.798461,52.798461,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose,20260630_024117_strong_rep1,2026-06-30T02:51:51+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,50,close,25.7172,,19.442,2403.5,7.7607,2.6264,5.5535,,7.3344,,37710977,84,32.018362,32.018362,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose,20260630_024117_strong_rep2,2026-06-30T03:03:22+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,50,close,25.7829,,19.393,2405.3,7.7404,2.6206,5.5893,,7.3795,,37710977,84,32.158818,32.158818,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose\20260630_024117_strong_rep2
