engine,config,benchmark,scaling,n_dim,atoms,rho,dt,steps,ranks,threads,bind,n_reps,matom_step_per_second_mean,matom_step_per_second_median,matom_step_per_second_min,matom_step_per_second_max,matom_step_per_second_stddev
lammps,openmp-native,argon_block,weak,58,195112,0.8442,0.005,500,1,6,close,3,10.150666666666666,10.148,10.139,10.165,0.01320353488022543
lammps,openmp-native,argon_block,weak,64,262144,0.8442,1e-07,500,1,8,close,3,39.72966666666667,39.74,39.619,39.83,0.10587886159821142
lammps,openmp-native,argon_block,weak,64,262144,0.8442,0.005,500,1,8,close,3,12.849666666666668,12.855,12.839,12.855,0.00923760430703402
lammps,openmp-native,argon_block,weak,71,357911,0.8442,1e-07,500,1,11,close,3,44.33,44.401,44.172,44.417,0.13706567768774516
lammps,openmp-native,argon_block,weak,71,357911,0.8442,0.005,500,1,11,close,3,16.189333333333334,16.192,16.179,16.197,0.009291573243178091
lammps,openmp-native,argon_block,weak,81,531441,0.8442,1e-07,500,1,16,close,3,46.02466666666667,46.019,46.015,46.04,0.01342882471898878
lammps,openmp-native,argon_block,weak,81,531441,0.8442,0.005,500,1,16,close,3,20.083333333333332,20.078,20.076,20.096,0.011015141094572228
lammps,openmp-native,argon_block,weak,91,753571,0.8442,1e-07,500,1,23,close,3,37.465,37.454,37.414,37.527,0.05729746940310699
lammps,openmp-native,argon_block,weak,91,753571,0.8442,0.005,500,1,23,close,3,23.125,23.13,23.107,23.138,0.016093476939431986
lammps,openmp-native,argon_block,weak,102,1061208,0.8442,1e-07,500,1,32,close,3,40.68966666666667,40.711,40.645,40.713,0.03869539162914862
lammps,openmp-native,argon_block,weak,102,1061208,0.8442,0.005,500,1,32,close,3,24.887666666666664,24.895,24.871,24.897,0.014468356276140636
lammps,openmp-native,argon_block,weak,107,1225043,0.8442,1e-07,500,1,37,close,3,36.029333333333334,36.02,36.018,36.05,0.017925772879662336
lammps,openmp-native,argon_block,weak,107,1225043,0.8442,0.005,500,1,37,close,3,25.558,25.555,25.552,25.567,0.007937253933194072
lammps,openmp-native,argon_block,weak,114,1481544,0.8442,1e-07,500,1,45,close,3,37.904,37.901,37.869,37.942,0.03659234892706403
lammps,openmp-native,argon_block,weak,114,1481544,0.8442,0.005,500,1,45,close,3,25.878,25.867,25.85,25.917,0.034828149534536175
lammps,openmp-native,argon_block,weak,118,1643032,0.8442,1e-07,500,1,50,close,3,35.57533333333333,35.576,35.543,35.607,0.0320052079095471
lammps,openmp-native,argon_block,weak,118,1643032,0.8442,0.005,500,1,50,close,3,25.390333333333334,25.416,25.335,25.42,0.047961790347456235
lammps,openmp-native,argon_block,weak,122,1815848,0.8442,1e-07,500,1,56,close,3,20.35966666666667,20.359,20.324,20.396,0.0360046293319804
lammps,openmp-native,argon_block,weak,122,1815848,0.8442,0.005,500,1,56,close,3,24.335666666666665,24.337,24.331,24.339,0.0041633319989319495
