engine,config,benchmark,scaling,n_dim,particles,rho,dt,steps,block_x,block_y,block_z,cell_config,layout,executor,ordering,threads,n_reps,performance_mups_mean,performance_mups_median,performance_mups_min,performance_mups_max,performance_mups_stddev,label,cores,mups_mean,mups_min,mups_max,mups_std,runs,atoms,ranks,bind,matom_step_per_second_mean,matom_step_per_second_median,matom_step_per_second_min,matom_step_per_second_max,matom_step_per_second_stddev,requested_dt
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,1,3,,,,,,LAMMPS openmp,1,1.8706666666666667,1.87,1.871,0.0005773502691895,3,1000000.0,1.0,close,1.8706666666666667,1.871,1.87,1.871,0.0005773502691895,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,2,3,,,,,,LAMMPS openmp,2,3.6006666666666667,3.597,3.606,0.0047258156262525,3,1000000.0,1.0,close,3.6006666666666667,3.599,3.597,3.606,0.0047258156262525,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,3,3,,,,,,LAMMPS openmp,3,5.2620000000000005,5.259,5.266,0.0036055512754638,3,1000000.0,1.0,close,5.2620000000000005,5.261,5.259,5.266,0.0036055512754638,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,4,3,,,,,,LAMMPS openmp,4,6.851,6.849,6.852,0.0017320508075689,3,1000000.0,1.0,close,6.851,6.852,6.849,6.852,0.0017320508075689,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,6,3,,,,,,LAMMPS openmp,6,9.771666666666668,9.765,9.777,0.0061101009266071,3,1000000.0,1.0,close,9.771666666666668,9.773,9.765,9.777,0.0061101009266071,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,8,3,,,,,,LAMMPS openmp,8,12.372,12.36,12.389,0.0151327459504212,3,1000000.0,1.0,close,12.372,12.367,12.36,12.389,0.0151327459504212,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,11,3,,,,,,LAMMPS openmp,11,15.705666666666666,15.697,15.716,0.0096090235369329,3,1000000.0,1.0,close,15.705666666666666,15.704,15.697,15.716,0.0096090235369329,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,16,3,,,,,,LAMMPS openmp,16,19.827,19.817,19.843,0.0139999999999996,3,1000000.0,1.0,close,19.827,19.821,19.817,19.843,0.0139999999999996,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,23,3,,,,,,LAMMPS openmp,23,23.067,23.046,23.082,0.0187349939951959,3,1000000.0,1.0,close,23.067,23.073,23.046,23.082,0.0187349939951959,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,32,3,,,,,,LAMMPS openmp,32,24.86533333333333,24.827,24.907,0.0401040313850524,3,1000000.0,1.0,close,24.86533333333333,24.862,24.827,24.907,0.0401040313850524,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,37,3,,,,,,LAMMPS openmp,37,25.53633333333333,25.533,25.54,0.0035118845842831,3,1000000.0,1.0,close,25.53633333333333,25.536,25.533,25.54,0.0035118845842831,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,45,3,,,,,,LAMMPS openmp,45,25.951,25.918,25.979,0.0308058436014987,3,1000000.0,1.0,close,25.951,25.956,25.918,25.979,0.0308058436014987,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,50,3,,,,,,LAMMPS openmp,50,25.276,25.248,25.298,0.025534290669606,3,1000000.0,1.0,close,25.276,25.282,25.248,25.298,0.025534290669606,0.005
lammps,openmp-native,argon_block,strong,100,,0.8442,0.005,500,,,,,,,,56,3,,,,,,LAMMPS openmp,56,24.244,24.222,24.257,0.0191572440606677,3,1000000.0,1.0,close,24.244,24.253,24.222,24.257,0.0191572440606677,0.005
